t,Energy in store PHES, Energy in store Lithl
402,120000,3227.912631
403,58257.68498,2677.30827
404,0,2677.30827
405,0,2677.30827
406,0,3016.458607
407,0,3531.985494
408,0,3531.985494
409,0,3531.985494
410,0,3531.985494
411,0,3531.985494
412,78000,3531.985494
413,120000,3531.985494
414,120000,3531.985494
415,120000,3531.985494
416,120000,4458.333485
417,120000,5000
418,120000,5000
419,120000,5000
420,120000,5000
421,120000,5000
422,120000,0
423,120000,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,98.67975041
432,0,1049.285404
433,78000,1049.285404
434,120000,1049.285404
435,120000,1049.285404
436,120000,1049.285404
437,120000,1049.285404
438,120000,1049.285404
439,120000,1049.285404
440,120000,1049.285404
441,120000,1049.285404
442,120000,3525.541401
443,120000,3525.541401
444,120000,3525.541401
445,120000,4374.359094
446,120000,5000
447,120000,5000
448,120000,5000
449,120000,5000
450,120000,5000
451,120000,5000
452,120000,5000
453,120000,5000
454,120000,5000
455,120000,5000
456,120000,5000
457,120000,5000
458,120000,5000
459,120000,5000
460,120000,5000
461,120000,5000
462,120000,5000
463,120000,5000
464,120000,5000
465,120000,5000
466,120000,4901.436151
467,120000,4901.436151
468,120000,4901.436151
469,120000,4901.436151
470,120000,4901.436151
471,120000,3035.709222
472,120000,3035.709222
473,120000,3035.709222
474,120000,3035.709222
475,120000,3035.709222
476,120000,1109.700929
477,120000,0
478,120000,0
479,120000,0
480,120000,0
481,120000,0
482,120000,0
483,120000,3494.086796
484,120000,3932.743295
485,120000,3932.743295
486,120000,3932.743295
487,120000,3932.743295
488,120000,3932.743295
489,120000,3932.743295
490,120000,3932.743295
491,120000,3932.743295
492,120000,3932.743295
493,120000,3932.743295
494,120000,3932.743295
495,120000,3932.743295
496,120000,3932.743295
497,120000,3587.271241
498,120000,2596.073696
499,120000,1553.665183
500,120000,718.7945543
501,120000,140.1299421
502,120000,0
503,120000,0
504,120000,0
505,120000,0
506,120000,0
507,120000,0
508,120000,0
509,120000,0
510,120000,0
511,120000,0
512,120000,2324.210206
513,120000,3194.841396
514,120000,4501.325358
515,120000,5000
516,120000,5000
517,120000,5000
518,120000,5000
519,0,3159.186074
520,0,1098.977841
521,0,263.2138619
522,0,263.2138619
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,0,0
537,0,0
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,0,0
544,0,0
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,0,0
559,0,0
560,0,0
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,0,0
567,0,0
568,0,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,306.2680891
574,0,1326.444957
575,0,3016.996874
576,0,4234.882268
577,0,4234.882268
578,78000,4234.882268
579,120000,4234.882268
580,120000,4234.882268
581,120000,4234.882268
582,120000,4234.882268
583,120000,4234.882268
584,120000,4234.882268
585,120000,4234.882268
586,120000,4234.882268
587,120000,4234.882268
588,120000,4234.882268
589,120000,4234.882268
590,120000,4234.882268
591,120000,4234.882268
592,120000,4234.882268
593,120000,4234.882268
594,120000,4234.882268
595,120000,5000
596,120000,5000
597,120000,5000
598,120000,5000
599,120000,5000
600,120000,5000
601,120000,5000
602,120000,5000
603,120000,5000
604,120000,5000
605,120000,5000
606,120000,5000
607,120000,5000
608,120000,5000
609,120000,5000
610,120000,5000
611,120000,5000
612,120000,5000
613,120000,5000
614,120000,5000
615,120000,5000
616,120000,5000
617,120000,1955.006764
618,120000,0
619,120000,0
620,120000,0
621,120000,0
622,120000,0
623,120000,0
624,120000,0
625,120000,0
626,120000,1177.932824
627,120000,2109.574241
628,120000,2906.499772
629,120000,3600.579104
630,120000,3600.579104
631,120000,4542.644418
632,120000,4756.539153
633,120000,4756.539153
634,120000,4756.539153
635,120000,4756.539153
636,120000,4756.539153
637,120000,4756.539153
638,120000,5000
639,120000,5000
640,120000,5000
641,120000,5000
642,120000,5000
643,120000,5000
644,120000,5000
645,120000,5000
646,120000,5000
647,120000,5000
648,120000,5000
649,120000,5000
650,120000,5000
651,120000,5000
652,120000,5000
653,120000,5000
654,120000,5000
655,120000,5000
656,120000,5000
657,120000,5000
658,120000,5000
659,120000,5000
660,120000,5000
661,120000,5000
662,120000,4935.853703
663,120000,4935.853703
664,120000,3463.980106
665,120000,0
666,120000,0
667,120000,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
