t,Marginal_Price
1,0.1013549499
2,0.1013549499
3,0.1013549499
4,0.1013549499
5,0.1013549499
6,0.1013549499
7,0.1013549499
8,0.1013549499
9,0.1013549499
10,0.1013549499
11,0.1013549499
12,0.1013549499
13,0.1013549499
14,0.1013549499
15,0.1013549499
16,0.1086734694
17,0.1086734694
18,0.1086734694
19,0.1086734694
20,0.1086734694
21,0.1086734694
22,0.1086734694
23,0.1013549499
24,0.1013549499
25,0.1013549499
26,0.1013549499
27,0.1013549499
28,0.1013549499
29,0.1013549499
30,0.1013549499
31,0.1013549499
32,0.1013549499
33,0.1013549499
34,0.1013549499
35,0.1086734694
36,0.1086734694
37,0.1086734694
38,0.1013549499
39,0.1013549499
40,0.1013549499
41,0.1013549499
42,0.1013549499
43,0.1013549499
44,0.1013549499
45,0.1013549499
46,0.1013549499
47,0.1013549499
48,0.0739442947
49,0.0739442947
50,0.0739442947
51,0.0739442947
52,0.0739442947
53,0.0739442947
54,0.0739442947
55,0.0739442947
56,0.0739442947
57,0.0739442947
58,0.0739442947
59,0.0739442947
60,0.0739442947
61,0.1013549499
62,0.1013549499
63,0.1013549499
64,0.1013549499
65,0.1086734694
66,0.1086734694
67,0.1086734694
68,0.1086734694
69,0.1086734694
70,0.1086734694
71,0.1086734694
72,0.1086734694
73,0.1086734694
74,0.1086734694
75,0.1086734694
76,0.1086734694
77,0.1086734694
78,0.1086734694
79,0.1086734694
80,0.1086734694
81,0.1086734694
82,0.1086734694
83,4.464285714
84,4.464285714
85,4.464285714
86,4.464285714
87,4.464285714
88,4.464285714
89,0.1086734694
90,0.1086734694
91,0.1086734694
92,0.1086734694
93,0.1086734694
94,0.1013549499
95,0.1013549499
96,0.1013549499
97,0.1013549499
98,0.1013549499
99,0.1013549499
100,0.1013549499
101,0.1013549499
102,0.1013549499
103,0.1013549499
104,0.1013549499
105,0.1013549499
106,0.1013549499
107,0.1013549499
108,0.1013549499
109,0.1013549499
110,0.1013549499
111,0.1013549499
112,0.1086734694
113,0.1086734694
114,0.1086734694
115,0.1086734694
116,0.1086734694
117,0.1086734694
118,0.1086734694
119,0.1086734694
120,0.1086734694
121,0.1086734694
122,0.1086734694
123,0.1086734694
124,0.1086734694
125,0.1086734694
126,0.1086734694
127,0.1086734694
128,0.1086734694
129,0.1086734694
130,0.1086734694
131,0.1086734694
132,0.1086734694
133,0.1086734694
134,0.1086734694
135,0.1086734694
136,0.1086734694
137,0.1086734694
138,0.1086734694
139,0.1086734694
140,0.1013549499
141,0.1013549499
142,0.1013549499
143,0.1013549499
144,0.1013549499
145,0.1013549499
146,0.1013549499
147,0.1013549499
148,0.1013549499
149,0.0739442947
150,0.0739442947
151,0.0739442947
152,0.0739442947
153,0.0739442947
154,0.0739442947
155,0.0739442947
156,0.0739442947
157,0.0739442947
158,0.0739442947
159,0.0739442947
160,0.1013549499
161,0.1013549499
162,0.1013549499
163,0.1013549499
164,0.1013549499
165,0.1013549499
166,0.0739442947
167,0.0739442947
168,0.0739442947
169,0.0739442947
170,0.0739442947
171,0.0739442947
172,0.0739442947
173,0.0739442947
174,0.0739442947
175,0.0739442947
176,0.0739442947
177,0.0739442947
178,0.0739442947
179,0.1013549499
180,0.1013549499
181,0.1013549499
182,0.1013549499
183,0.1013549499
184,0.1013549499
185,0.0739442947
186,0.0739442947
187,0.0739442947
188,0.0739442947
189,0.0739442947
190,0.0739442947
191,0.0739442947
192,0.0739442947
193,0.0739442947
194,0.0739442947
195,0.0739442947
196,0.0739442947
197,0.0739442947
198,0.0739442947
199,0.0739442947
200,0.0739442947
201,0.0739442947
202,0.0739442947
203,0.0739442947
204,0.0739442947
205,0.0739442947
206,0.0739442947
207,0.0739442947
208,0.0739442947
209,0.0739442947
210,0.0739442947
211,0.0739442947
212,0.0739442947
213,0.0739442947
214,0.0739442947
215,0.0739442947
216,0.0739442947
217,0.0739442947
218,0.0739442947
219,0.0739442947
220,0.0739442947
221,0.0739442947
222,0.0739442947
223,0.0739442947
224,0.0739442947
225,0.0739442947
226,0.0739442947
227,0.1013549499
228,0.1013549499
229,0.1013549499
230,0.1013549499
231,0.1013549499
232,0.1013549499
233,0.1013549499
234,0.1013549499
235,0.1013549499
236,0.1013549499
237,0.1013549499
238,0.0739442947
239,0.0739442947
240,0.0739442947
241,0.0739442947
242,0.0739442947
243,0.0739442947
244,0.0739442947
245,0.0739442947
246,0.0739442947
247,0.0739442947
248,0.0739442947
249,0.0739442947
250,0.0739442947
251,0.0739442947
252,0.0739442947
253,0.0739442947
254,0.0739442947
255,0.0739442947
256,0.0739442947
257,0.0739442947
258,0.0739442947
259,0.0739442947
260,0.0739442947
261,0.0739442947
262,0.0739442947
263,0.0739442947
264,0.0739442947
265,0.0739442947
266,0.0739442947
267,0.0739442947
268,0.0739442947
269,0.0739442947
270,0.0739442947
271,0.0739442947
272,0.0739442947
273,0.0739442947
274,0.0739442947
275,0.0739442947
276,0.09312073886
277,0.09312073886
278,0.09312073886
279,0.09312073886
280,0.0739442947
281,0.0739442947
282,0.0739442947
283,0.0739442947
284,0.0739442947
285,0.0739442947
286,0.0739442947
287,0.0739442947
288,0.0739442947
289,0.0739442947
290,0.0739442947
291,0.0739442947
292,0.0739442947
293,0.0739442947
294,0.0739442947
295,0.0739442947
296,0.0739442947
297,0.0739442947
298,0.0739442947
299,0.0739442947
300,0.0739442947
301,0.0739442947
302,0.0739442947
303,0.0739442947
304,0.0739442947
305,0.0739442947
306,0.0739442947
307,0.0739442947
308,0.0739442947
309,0.0739442947
310,0.0739442947
311,0.0739442947
312,0.0739442947
313,0.0739442947
314,0.0739442947
315,0.0739442947
316,0.0739442947
317,0.0739442947
318,0.0739442947
319,0.0739442947
320,0.0739442947
321,0.0739442947
322,0.0739442947
323,0.1013549499
324,0.1013549499
325,0.1013549499
326,0.1013549499
327,0.1013549499
328,0.1013549499
329,0.1013549499
330,0.1013549499
331,0.1013549499
332,0.1013549499
333,0.1013549499
334,0.0739442947
335,0.0739442947
336,0.0739442947
337,0.0739442947
338,0.0739442947
339,0.0739442947
340,0.0739442947
341,0.0739442947
342,0.0739442947
343,0.0739442947
344,0.0739442947
345,0.0739442947
346,0.0739442947
347,0.0739442947
348,0.0739442947
349,0.0739442947
350,0.0739442947
351,0.1013549499
352,0.1013549499
353,0.1013549499
354,0.1013549499
355,0.1013549499
356,0.1013549499
357,0.1013549499
358,0.1013549499
359,0.1013549499
360,0.1013549499
361,0.1013549499
362,0.1013549499
363,0.1013549499
364,0.1013549499
365,0.1013549499
366,0.1013549499
367,0.1013549499
368,0.1013549499
369,0.1013549499
370,0.1013549499
371,0.1013549499
372,0.1013549499
373,0.1013549499
374,0.1013549499
375,0.1013549499
376,0.1013549499
377,0.1013549499
378,0.1013549499
379,0.1013549499
380,0.0739442947
381,0.0739442947
382,0.0739442947
383,0.0739442947
384,0.0739442947
385,0.0739442947
386,0.0739442947
387,0.0739442947
388,0.0739442947
389,0.0739442947
390,0.0739442947
391,0.06721513605
392,0.06721513605
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0.0739442947
401,0.0739442947
402,0.0739442947
403,0.0739442947
404,0.06721513605
405,0.06721513605
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0.0739442947
418,0.0739442947
419,0.0739442947
420,0.0739442947
421,0.0739442947
422,0.0739442947
423,0.0739442947
424,0.0739442947
425,0.0739442947
